timestamp	run_id	changed_mechanism	baseline_checkpoint	full_generation_exact	min_family_generation_exact	full_minus_think0	full_minus_worst_ablation	status	report_path	next_action
2026-05-13T22:20:00+09:00	len6_family_opbreakdown_fast	family-specific operation breakdown only	local_eval/qtrm_native_reversed_efficiency_len6_hardfamily_20260513/len6_seed777/last.pt	0.20833333333333334	0.0625	0.19791666666666669	0.17708333333333334	probe	local_eval/qtrm_native_reversed_efficiency_len6_family_opbreakdown_fast_20260513/len6_seed777/report.json	Use as diagnosis only; bottleneck is ordered composition, not rendering.
2026-05-13T22:45:00+09:00	len6_nointermediate	remove intermediate depth supervision	local_eval/qtrm_native_reversed_efficiency_len4_hardfamily_20260513/len4_seed777/last.pt	0.142578125	0.052941176470588235	0.12109375	0.087890625	discard	local_eval/qtrm_native_reversed_efficiency_len6_nointermediate_20260513/len6_seed777/report.json	Keep bug-fixed intermediate targets; do not remove depth supervision entirely.
2026-05-13T23:15:00+09:00	len6_len_curriculum_triage	replace batch active-length cycle with simple curriculum	local_eval/qtrm_native_reversed_efficiency_len4_hardfamily_20260513/len4_seed777/last.pt	0.052083333333333336	0.0	unknown	unknown	discard	local_eval/qtrm_native_reversed_efficiency_len6_len_curriculum_triage_20260513/len6_seed777.log	Stopped at step 600; keep active_len_batch_cycle default.
2026-05-13T23:35:00+09:00	len6_depth020_triage	restore stronger depth intermediate weight 0.20	local_eval/qtrm_native_reversed_efficiency_len4_hardfamily_20260513/len4_seed777/last.pt	0.10416666666666667	0.041666666666666664	unknown	unknown	discard	local_eval/qtrm_native_reversed_efficiency_len6_depth020_triage_20260513/len6_seed777.log	Stopped at step 600; stronger depth supervision alone does not fix len6.
2026-05-14T00:10:00+09:00	len6_corecodec_triage	family-correct core-step codec auxiliary loss	local_eval/qtrm_native_reversed_efficiency_len4_hardfamily_20260513/len4_seed777/last.pt	0.14583333333333334	0.03125	0.13541666666666669	0.08854166666666669	probe-discard	local_eval/qtrm_native_reversed_efficiency_len6_corecodec_triage_20260513/len6_seed777/report.json	Touches active-length floor but fails hard-family floor; use family_floor checkpoint selection next.
2026-05-14T00:45:00+09:00	len6_familyfloor_triage	periodic checkpoint selection by weakest family floor	local_eval/qtrm_native_reversed_efficiency_len4_hardfamily_20260513/len4_seed777/last.pt	0.125	0.046875	0.11458333333333333	0.08333333333333334	probe-keep-ops	local_eval/qtrm_native_reversed_efficiency_len6_familyfloor_triage_20260514/len6_seed777/report.json	Keep the operation rule because it restored step800 instead of weaker step1000; do not promote architecture because full/min-family remain below the len6 target.
2026-05-14T01:35:00+09:00	len6_causalactive_triage	family-aware causal active-length curriculum/eval fix	local_eval/qtrm_native_reversed_efficiency_len4_hardfamily_20260513/len4_seed777/last.pt	0.109375	0.03125	0.109375	0.07291666666666666	probe-discard-performance	local_eval/qtrm_native_reversed_efficiency_len6_causalactive_triage_20260514/len6_seed777/report.json	Keep the semantic bugfix in code, but do not promote the checkpoint; corrected revchain active suffixes expose the hard-family bottleneck more strictly.
2026-05-14T02:10:00+09:00	len6_prefixanchor_triage	prefix-depth anchor on fixed causal active-length semantics	local_eval/qtrm_native_reversed_efficiency_len4_hardfamily_20260513/len4_seed777/last.pt	0.078125	0.015625	0.06770833333333333	0.026041666666666664	discard	local_eval/qtrm_native_reversed_efficiency_len6_prefixanchor_triage_20260514/len6_seed777/report.json	Prefix-anchor improved the late periodic active-length floor before restoration but collapsed the weakest family; do not use until a fixed-semantics len4 baseline exists.
2026-05-14T03:00:00+09:00	len4_causalactive_rebase	fixed-semantics len4 scratch rebase with hardfamily recipe	none	0.049479166666666664	0.03125	0.026041666666666664	-0.005208333333333336	discard	local_eval/qtrm_native_reversed_efficiency_len4_causalactive_rebase_20260514/len4_seed777/report.json	Scratch hardfamily recipe does not reproduce the old len4 baseline; rerun the staged lrsched->phase2->hardfamily path under fixed semantics.
2026-05-14T03:35:00+09:00	len4_lrsched_causalactive	fixed-semantics reproduction of old len4 lrsched stage	none	0.17447916666666666	0.0546875	0.12760416666666666	0.10677083333333333	keep-stage1	local_eval/qtrm_native_reversed_efficiency_len4_lrsched_causalactive_20260514/len4_seed777/report.json	Use as fixed-semantics stage1 baseline; next reproduce phase2 from this checkpoint.
